TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01_001_001,FIDESZ-KDNP,308
Listas,2014EP,01_001_001,EGYÜTT-PM,83
Listas,2014EP,01_001_001,JOBBIK,50
Listas,2014EP,01_001_001,MSZP,47
Listas,2014EP,01_001_001,LMP,45
Listas,2014EP,01_001_001,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01_001_001,SMS,2
Listas,2014EP,01_001_001,A HAZA NEM ELADÓ,0
Listas,2014EP,01_001_002,FIDESZ-KDNP,265
Listas,2014EP,01_001_002,EGYÜTT-PM,72
Listas,2014EP,01_001_002,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01_001_002,LMP,43
Listas,2014EP,01_001_002,MSZP,31
Listas,2014EP,01_001_002,JOBBIK,31
Listas,2014EP,01_001_002,SMS,2
Listas,2014EP,01_001_002,A HAZA NEM ELADÓ,1
Listas,2014EP,01_001_003,FIDESZ-KDNP,434
Listas,2014EP,01_001_003,LMP,135
Listas,2014EP,01_001_003,EGYÜTT-PM,102
Listas,2014EP,01_001_003,JOBBIK,71
Listas,2014EP,01_001_003,DEMOKRATIKUS KOALÍCIÓ,69
Listas,2014EP,01_001_003,MSZP,50
Listas,2014EP,01_001_003,SMS,2
Listas,2014EP,01_001_003,A HAZA NEM ELADÓ,1
Listas,2014EP,01_001_004,FIDESZ-KDNP,264
Listas,2014EP,01_001_004,LMP,56
Listas,2014EP,01_001_004,EGYÜTT-PM,51
Listas,2014EP,01_001_004,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01_001_004,MSZP,38
Listas,2014EP,01_001_004,JOBBIK,37
Listas,2014EP,01_001_004,A HAZA NEM ELADÓ,1
Listas,2014EP,01_001_004,SMS,1
Listas,2014EP,01_001_005,FIDESZ-KDNP,246
Listas,2014EP,01_001_005,EGYÜTT-PM,78
Listas,2014EP,01_001_005,LMP,55
Listas,2014EP,01_001_005,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01_001_005,JOBBIK,30
Listas,2014EP,01_001_005,MSZP,26
Listas,2014EP,01_001_005,A HAZA NEM ELADÓ,3
Listas,2014EP,01_001_005,SMS,1
Listas,2014EP,01_001_006,FIDESZ-KDNP,275
Listas,2014EP,01_001_006,EGYÜTT-PM,85
Listas,2014EP,01_001_006,LMP,73
Listas,2014EP,01_001_006,MSZP,36
Listas,2014EP,01_001_006,DEMOKRATIKUS KOALÍCIÓ,36
Listas,2014EP,01_001_006,JOBBIK,34
Listas,2014EP,01_001_006,A HAZA NEM ELADÓ,2
Listas,2014EP,01_001_006,SMS,1
