SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES,URL
01_001_001,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ001.html
01_001_002,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ002.html
01_001_003,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ003.html
01_001_004,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ004.html
01_001_005,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ005.html
01_001_006,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ006.html
01_001_007,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ007.html
01_001_008,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ008.html
01_001_009,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ009.html
01_001_010,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ010.html
01_001_011,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ011.html
01_001_012,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ012.html
01_001_013,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ013.html
01_001_014,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ014.html
01_001_015,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ015.html
01_001_016,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ016.html
01_001_017,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ017.html
01_001_018,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ018.html
01_001_019,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ019.html
01_001_020,01,BUDAPEST,001,Budapest I.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T001/v23SZ020.html
01_002_001,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ001.html
01_002_002,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ002.html
01_002_003,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ003.html
01_002_004,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ004.html
01_002_005,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ005.html
01_002_006,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ006.html
01_002_007,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ007.html
01_002_008,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ008.html
01_002_009,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ009.html
01_002_010,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ010.html
01_002_011,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ011.html
01_002_012,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ012.html
01_002_013,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ013.html
01_002_014,01,BUDAPEST,002,Budapest II.ker.,https://static.valasztas.hu/dyn/ep14/vertaj/hu/M01/T002/v23SZ014.html
