SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26_options,OEVK26_isect,METSZET,MI,OEVK26_largest,OEVK26,URL
01_001_001,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,137609,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=001
01_001_002,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,191914,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=002
01_001_003,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,97537,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=003
01_001_004,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,124457,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=004
01_001_005,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,145991,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=005
01_001_006,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,103709,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=006
01_001_007,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,66372,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=007
01_001_008,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,65022,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=008
01_001_009,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01|01_04,82424|227,1|0,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=009
01_001_010,01,BUDAPEST,01,Budapest,05,001,Budapest I. kerület,01_01,01_01,75274,1,01_01,01_01,https://www.valasztas.hu/szavazokori-eredmenyek?p_p_id=ogyszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=0&p_p_state=maximized&p_p_mode=view&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_tabId=tab2&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod2=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vlId=244&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_vltId=556&_ogyszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=010
