SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK,OEVK26_options,OEVK26_isect,METSZET,MI,OEVK26_largest,OEVK26,URL
01_001_001,01,BUDAPEST,01,001,Budapest I. kerület,Úri u. 38. (Önkormányzat intézménye),Igen,Nem,01_01,01_01,137609,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=001
01_001_002,01,BUDAPEST,01,001,Budapest I. kerület,Tárnok u. 9-11. (Budavári Általános Iskola),Igen,Nem,01_01,01_01,191914,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=002
01_001_003,01,BUDAPEST,01,001,Budapest I. kerület,Bem rkp. 6. (Budavári Mûvelõdési Ház),Igen,Igen,01_01,01_01,151701,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=003
01_001_004,01,BUDAPEST,01,001,Budapest I. kerület,Fõ u. 31. (III. sz. Idõsek Klubja),Igen,Nem,01_01,01_01,134568,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=004
01_001_005,01,BUDAPEST,01,001,Budapest I. kerület,Toldy F. u. 9. (Toldy Ferenc Gimnázium),Igen,Nem,01_01,01_01,190948,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=005
01_001_006,01,BUDAPEST,01,001,Budapest I. kerület,Toldy F. u. 66. (Vízivárosi Óvoda),Igen,Nem,01_01,01_01,137749,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=006
01_001_007,01,BUDAPEST,01,001,Budapest I. kerület,Batthyány u. 8. (Batthyány Általános Iskola),Nem,Nem,01_01,01_01,79261,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=007
01_001_008,01,BUDAPEST,01,001,Budapest I. kerület,Hattyú u. 16. (I. sz. Idõsek Klubja),Igen,Nem,01_01,01_01,66562,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=008
01_001_009,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 135-137. (Kosztolányi Dezsõ Gimnázium),Igen,Nem,01_01,01_01|01_03|01_04,83508|93|183,1|0|0,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=009
01_001_010,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 135-137. (Kosztolányi Dezsõ Gimnázium),Igen,Nem,01_01,01_01,244700,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=010
01_001_011,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 89. (Szociális Szolgáltatási Központ),Igen,Nem,01_01,01_01,96586,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=011
01_001_012,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 43. (Petõfi Sándor Gimnázium),Igen,Nem,01_01,01_01,83722,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=012
01_001_013,01,BUDAPEST,01,001,Budapest I. kerület,Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium),Igen,Nem,01_01,01_01,341142,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=013
01_001_014,01,BUDAPEST,01,001,Budapest I. kerület,Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium),Igen,Nem,01_01,01_01,277356,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=014
01_001_015,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 43. (Petõfi Sándor Gimnázium),Igen,Nem,01_01,01_01,89762,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=015
01_001_016,01,BUDAPEST,01,001,Budapest I. kerület,Nyárs u. 2-4. (Naphegyi Óvoda),Igen,Nem,01_01,01_01,142995,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=016
01_001_017,01,BUDAPEST,01,001,Budapest I. kerület,Lisznyai u. 40-42.(Általános Iskola),Igen,Nem,01_01,01_01,252279,1,01_01,01_01,https://www.valasztas.hu/szavazokorok_ep2019?p_p_id=epszavazokorieredmenyek_WAR_nvinvrportlet&p_p_lifecycle=1&p_p_state=maximized&p_p_mode=view&_epszavazokorieredmenyek_WAR_nvinvrportlet_telepulesKod=001&_epszavazokorieredmenyek_WAR_nvinvrportlet_megyeKod=01&_epszavazokorieredmenyek_WAR_nvinvrportlet_vlId=291&_epszavazokorieredmenyek_WAR_nvinvrportlet_vltId=684&_epszavazokorieredmenyek_WAR_nvinvrportlet_szavkorSorszam=017
