SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,SZEKHELY,SZH_KER,TELEPULES_SORSZAM,TELEPULES,OEVK26VF,OEVK14,OEVK26_options,OEVK26_isect,METSZET,OEVK26_or_type,OEVK26_or,OEVK26,MI,OEVK26_largest,ATJELENTKEZOK,INDULO,HONOS,ATJELENTKEZO_IDE,ATJELENTKEZO_INNEN,OSSZESEN,URL,TERULET
01_001_001,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,139082,,,01_01,1,01_01,N,1078,1003,0,72,1003,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-001?tab=data,139082
01_001_002,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,195252,,,01_01,1,01_01,N,1020,940,0,78,940,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-002?tab=data,195252
01_001_003,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,154688,,,01_01,1,01_01,I,963,907,1265,42,2172,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-003?tab=data,154688
01_001_004,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,136007,,,01_01,1,01_01,N,1330,1288,0,71,1288,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-004?tab=data,136007
01_001_005,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,189555,,,01_01,1,01_01,N,947,871,0,59,871,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-005?tab=data,189555
01_001_006,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,137050,,,01_01,1,01_01,N,1029,936,0,89,936,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-006?tab=data,137050
01_001_007,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,77277,,,01_01,1,01_01,N,891,837,0,46,837,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-007?tab=data,77277
01_001_008,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,64756,,,01_01,1,01_01,N,915,843,0,69,843,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-008?tab=data,64756
01_001_009,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01|01_03|01_04,83563|175|285,,,01_01,1|0|0,01_01,N,1029,953,0,63,953,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-009?tab=data,84024
01_001_010,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,242830,,,01_01,1,01_01,N,973,901,0,66,901,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-010?tab=data,242830
01_001_011,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,95888,,,01_01,1,01_01,N,971,889,0,77,889,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-011?tab=data,95888
01_001_012,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,82322,,,01_01,1,01_01,N,1027,940,0,70,940,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-012?tab=data,82322
01_001_013,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,338848,,,01_01,1,01_01,N,1049,984,0,68,984,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-013?tab=data,338848
01_001_014,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,279339,,,01_01,1,01_01,N,1059,997,0,61,997,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-014?tab=data,279339
01_001_015,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,89402,,,01_01,1,01_01,N,969,896,0,67,896,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-015?tab=data,89402
01_001_016,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,139672,,,01_01,1,01_01,N,903,832,0,61,832,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-016?tab=data,139672
01_001_017,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,255032,,,01_01,1,01_01,N,1042,972,0,68,972,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-017?tab=data,255032
01_001_018,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,674800,,,01_01,1,01_01,N,1031,954,0,70,954,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-018?tab=data,674800
01_001_019,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,135937,,,01_01,1,01_01,N,952,893,0,59,893,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-019?tab=data,135937
01_001_020,01,BUDAPEST,01_01,Budapest,05,001,Budapest I. kerület,01_01,01_01,01_01,01_01,418835,,,01_01,1,01_01,N,912,848,0,55,848,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-001-020?tab=data,418835
01_002_001,01,BUDAPEST,01_04,Budapest,02,002,Budapest II. kerület,01_04,01_04,01_04,01_04,180050,,,01_04,1,01_04,N,1049,976,0,63,976,https://vtr.valasztas.hu/ogy2022/szavazohelyisegek/01-002-001?tab=data,180050
