megye,település,sorszám,evk,számlKijelölt,átjKijelölt,átjel,átjelInnen,honos,induló,összesen
01,001,001,01,N,N,0,72,1003,1078,1003
01,001,002,01,N,N,0,78,940,1020,940
01,001,003,01,N,I,1265,42,907,963,2172
01,001,004,01,N,N,0,71,1288,1330,1288
01,001,005,01,N,N,0,59,871,947,871
01,001,006,01,N,N,0,89,936,1029,936
01,001,007,01,N,N,0,46,837,891,837
01,001,008,01,N,N,0,69,843,915,843
01,001,009,01,N,N,0,63,953,1029,953
01,001,010,01,N,N,0,66,901,973,901
01,001,011,01,N,N,0,77,889,971,889
01,001,012,01,N,N,0,70,940,1027,940
01,001,013,01,N,N,0,68,984,1049,984
01,001,014,01,N,N,0,61,997,1059,997
01,001,015,01,N,N,0,67,896,969,896
01,001,016,01,N,N,0,61,832,903,832
01,001,017,01,N,N,0,68,972,1042,972
01,001,018,01,N,N,0,70,954,1031,954
01,001,019,01,N,N,0,59,893,952,893
01,001,020,01,N,N,0,55,848,912,848
01,002,001,04,N,N,0,63,976,1049,976
01,002,002,04,N,N,0,61,866,935,866
01,002,003,04,N,N,0,50,653,720,653
01,002,004,04,N,N,0,88,994,1083,994
01,002,005,04,N,N,0,66,1038,1100,1038
01,002,006,04,N,N,0,43,847,889,847
01,002,007,04,N,N,0,57,770,833,770
01,002,008,04,N,N,0,73,859,938,859
01,002,009,04,N,N,0,63,803,871,803
01,002,010,04,I,N,0,69,692,769,692
01,002,011,04,N,I,3081,33,573,611,3654
01,002,012,04,N,N,0,61,927,993,927
01,002,013,04,N,N,0,51,638,687,638
01,002,014,04,N,N,0,34,808,850,808
01,002,015,04,N,N,0,37,731,775,731
01,002,016,04,N,N,0,69,1098,1169,1098
01,002,017,04,N,N,0,38,818,857,818
01,002,018,04,N,N,0,52,703,764,703
01,002,019,04,N,N,0,54,836,892,836
01,002,020,04,N,N,0,60,786,845,786
01,002,021,04,N,N,0,50,804,858,804
01,002,022,04,N,N,0,69,801,878,801
01,002,023,04,N,N,0,66,852,919,852
01,002,024,04,N,N,0,45,952,1013,952
01,002,025,04,N,N,0,51,826,878,826
01,002,026,04,N,N,0,65,824,891,824
01,002,027,04,N,N,0,50,703,751,703
01,002,028,04,N,N,0,42,650,699,650
01,002,029,04,N,N,0,35,478,501,478
01,002,030,04,N,N,0,39,548,602,548
01,002,031,04,N,N,0,59,1054,1117,1054
01,002,032,04,N,N,0,59,909,974,909
01,002,033,04,N,N,0,58,815,881,815
01,002,034,04,N,N,0,54,720,778,720
01,002,035,04,N,N,0,56,843,904,843
01,002,036,04,N,N,0,51,858,914,858
01,002,037,04,N,N,0,37,868,918,868
01,002,038,04,N,N,0,45,993,1033,993
01,002,039,04,N,N,0,49,911,948,911
01,002,040,04,N,N,0,34,838,878,838
01,002,041,04,N,N,0,43,783,828,783
01,002,042,04,N,N,0,30,794,829,794
01,002,043,04,N,N,0,47,796,848,796
01,002,044,04,N,N,0,52,916,967,916
01,002,045,04,N,N,0,52,873,932,873
01,002,046,04,N,N,0,50,877,931,877
01,002,047,04,N,N,0,40,890,934,890
01,002,048,04,N,N,0,54,884,938,884
01,002,049,04,N,N,0,63,845,914,845
01,002,050,03,N,N,0,68,817,888,817
01,002,051,03,N,N,0,34,698,741,698
01,002,052,03,N,N,0,53,640,697,640
01,002,053,03,N,N,0,42,661,701,661
01,002,054,03,N,N,0,81,971,1067,971
01,002,055,03,N,N,0,54,852,914,852
01,002,056,03,N,N,0,54,722,783,722
01,002,057,03,N,N,0,59,729,788,729
01,002,058,03,N,N,0,67,867,943,867
01,002,059,03,N,N,0,56,743,807,743
01,002,060,03,N,N,0,57,746,801,746
01,002,061,03,N,N,0,73,856,921,856
01,002,062,03,N,N,0,42,597,644,597
01,002,063,03,N,N,0,63,806,866,806
01,002,064,03,N,N,0,61,793,852,793
01,002,065,03,N,N,0,82,838,924,838
01,002,066,03,N,N,0,59,957,1026,957
01,002,067,03,N,N,0,60,778,843,778
01,002,068,03,N,N,0,65,808,882,808
01,002,069,03,N,N,0,60,898,967,898
01,002,070,03,N,N,0,54,837,898,837
