Megyekod,Telepuleskod,Szavkor,OEVK ID,Metszet terulet
01,001,001,0101,"459,728"
01,001,002,0101,"486,275"
01,001,003,0101,"153,507"
01,001,004,0101,"171,337"
01,001,005,0101,"157,045"
01,001,006,0101,"117,192"
01,001,007,0101,"101,265"
01,001,007,0104,128
01,001,008,0101,"125,375"
01,001,008,0103,577
01,001,008,0104,84
01,001,009,0101,"128,658"
01,001,010,0101,"137,707"
01,001,011,0101,"598,402"
01,001,011,0103,53
01,001,012,0101,"301,166"
01,001,013,0101,"149,766"
01,001,014,0101,"357,026"
01,001,015,0101,"303,796"
01,001,016,0101,"904,278"
01,002,001,0104,"180,050"
01,002,002,0104,"178,020"
01,002,003,0104,"107,378"
01,002,004,0104,"184,569"
01,002,005,0104,"471,113"
01,002,006,0104,"381,855"
01,002,007,0104,"352,929"
01,002,008,0104,"356,314"
01,002,009,0104,"298,604"
01,002,010,0104,"209,592"
01,002,011,0104,"175,575"
01,002,012,0104,"512,747"
01,002,013,0104,"210,437"
01,002,014,0104,"285,990"
01,002,015,0104,"355,797"
01,002,016,0104,"393,030"
01,002,017,0104,"97,059"
01,002,018,0104,"388,885"
01,002,019,0104,"442,422"
01,002,020,0104,"380,736"
01,002,021,0104,"253,083"
01,002,022,0104,"429,761"
01,002,023,0104,"408,872"
01,002,024,0104,"635,981"
01,002,025,0104,"10,603,137"
01,002,026,0104,"312,112"
01,002,027,0104,"416,829"
01,002,028,0104,"275,421"
01,002,029,0104,"131,370"
01,002,030,0104,"237,077"
01,002,031,0104,"534,618"
01,002,032,0104,"510,321"
01,002,033,0104,"1,061,955"
01,002,034,0104,"558,426"
01,002,035,0104,"578,302"
01,002,036,0104,"585,640"
01,002,037,0104,"917,966"
01,002,038,0104,"816,134"
01,002,039,0104,"632,830"
01,002,040,0104,"536,822"
01,002,041,0104,"674,352"
01,002,042,0104,"898,712"
01,002,043,0104,"562,409"
01,002,044,0104,"467,559"
01,002,045,0104,"675,656"
01,002,046,0104,"544,622"
01,002,047,0104,"733,512"
01,002,048,0104,"764,182"
01,002,049,0104,"854,612"
01,002,050,0103,"11,075"
01,002,050,0104,"1,034,020"
01,002,051,0104,"209,079"
01,002,052,0104,"233,587"
01,002,053,0104,"197,424"
01,002,054,0104,"333,460"
01,002,055,0103,"1,960"
01,002,055,0104,"322,761"
01,002,056,0103,300
01,002,056,0104,"44,986"
01,002,057,0104,"186,322"
01,002,058,0104,"56,416"
01,002,059,0104,"6,685"
01,002,060,0104,"100,866"
01,002,061,0104,"206,320"
