SZAVAZOKOR,MEGYE,TELEPULES,MEGYEKOD,TELEPULES_SORSZAM,OEVK14,OEVK26VF,OEVK,OEVK26_options,OEVK26_isect,METSZET,MI,OEVK26_largest,OEVK26
01-001-001,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,459728,1,01-01,01-01
01-001-002,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,486275,1,01-01,01-01
01-001-003,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,153507,1,01-01,01-01
01-001-004,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,171337,1,01-01,01-01
01-001-005,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,157045,1,01-01,01-01
01-001-006,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,117192,1,01-01,01-01
01-001-007,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01|01-04,101265|128,1|0,01-01,01-01
01-001-008,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01|01-03|01-04,125375|577|84,1|0|0,01-01,01-01
01-001-009,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,128658,1,01-01,01-01
01-001-010,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,137707,1,01-01,01-01
01-001-011,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01|01-03,598402|53,1|0,01-01,01-01
01-001-012,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,301166,1,01-01,01-01
01-001-013,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,149766,1,01-01,01-01
01-001-014,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,357026,1,01-01,01-01
01-001-015,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,303796,1,01-01,01-01
01-001-016,BUDAPEST,Budapest I. kerület,01,001,01-01,01-01,01-01,01-01,01-01,904278,1,01-01,01-01
01-002-001,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,180050,1,01-04,01-04
01-002-002,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,178020,1,01-04,01-04
01-002-003,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,107378,1,01-04,01-04
01-002-004,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,184569,1,01-04,01-04
01-002-005,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,471113,1,01-04,01-04
01-002-006,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,381855,1,01-04,01-04
01-002-007,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,352929,1,01-04,01-04
01-002-008,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,356314,1,01-04,01-04
01-002-009,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,298604,1,01-04,01-04
01-002-010,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,209592,1,01-04,01-04
01-002-011,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,175575,1,01-04,01-04
01-002-012,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,512747,1,01-04,01-04
01-002-013,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,210437,1,01-04,01-04
01-002-014,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,285990,1,01-04,01-04
01-002-015,BUDAPEST,Budapest II. kerület,01,002,01-04,01-04,01-04,01-04,01-04,355797,1,01-04,01-04
