SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_BELYEGZES_NELKULI,URNABAN_LEBELYEGZETT,ELTERES,ERVENYTELEN,ERVENYES
01_001_001,1241,923,0,923,0,2,921
01_001_002,1299,942,0,942,0,9,933
01_001_003,1273,831,1,831,0,4,827
01_001_004,1240,509,0,508,-1,17,491
01_001_005,1393,993,0,992,-1,8,984
01_001_006,1192,864,0,851,-13,7,844
01_001_007,1119,796,0,794,-2,6,788
01_001_008,1222,861,0,861,0,7,854
01_001_009,1115,820,0,821,1,14,807
01_001_010,1221,873,0,871,-2,4,867
01_001_011,1306,883,1,883,0,6,877
01_001_012,1147,827,0,826,-1,4,822
01_001_013,1305,918,0,916,-2,1,915
01_001_014,1215,834,0,835,1,14,821
01_001_015,1266,903,0,902,-1,6,896
01_001_016,1154,810,0,808,-2,4,804
01_002_001,980,684,1,682,-2,5,677
01_002_002,903,633,1,633,0,5,628
01_002_003,671,435,0,435,0,3,432
01_002_004,1053,730,0,728,-2,3,725
01_002_005,1099,803,0,800,-3,4,796
01_002_006,873,635,0,634,-1,2,632
01_002_007,822,602,0,604,2,21,583
01_002_008,934,666,0,665,-1,4,661
01_002_009,866,624,1,624,0,8,616
01_002_010,716,544,0,544,0,2,542
01_002_011,608,438,0,435,-3,5,430
01_002_012,1014,794,0,793,-1,5,788
01_002_013,698,499,0,499,0,2,497
01_002_014,861,639,0,639,0,6,633
01_002_015,763,553,0,555,2,20,535
01_002_016,1128,704,0,706,2,29,677
01_002_017,825,624,0,624,0,5,619
01_002_018,725,558,0,558,0,1,557
01_002_019,845,614,0,612,-2,3,609
01_002_020,852,638,0,638,0,5,633
01_002_021,869,645,0,646,1,14,632
01_002_022,851,614,0,614,0,3,611
01_002_023,870,663,0,665,2,24,641
01_002_024,976,722,0,722,0,2,720
01_002_025,866,631,1,631,0,5,626
01_002_026,861,670,0,670,0,4,666
01_002_027,726,547,0,545,-2,6,539
01_002_028,654,473,0,474,1,15,459
01_002_029,506,362,0,362,0,2,360
01_002_030,597,441,0,441,0,4,437
01_002_031,1097,775,0,775,0,2,773
01_002_032,931,706,0,706,0,6,700
01_002_033,848,667,0,668,1,18,650
01_002_034,765,530,0,531,1,12,519
01_002_035,886,652,1,646,-6,4,642
01_002_036,881,677,0,667,-10,4,663
01_002_037,902,661,0,660,-1,6,654
01_002_038,1030,770,0,770,0,8,762
