SZAVAZOKOR,MEGYEKOD,MEGYE,TELEPULES_SORSZAM,TELEPULES,URL
01_001_001,01,Budapest,001,Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_002,01,Budapest,001,1014 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_003,01,Budapest,001,1015 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_004,01,Budapest,001,1011 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_005,01,Budapest,001,1015 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_006,01,Budapest,001,1015 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_007,01,Budapest,001,1015 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_008,01,Budapest,001,1012 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_009,01,Budapest,001,1012 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_010,01,Budapest,001,1013 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_011,01,Budapest,001,1016 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_012,01,Budapest,001,1016 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_013,01,Budapest,001,1016 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_014,01,Budapest,001,1013 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_015,01,Budapest,001,1016 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_001_016,01,Budapest,001,1016 Budapest 01,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/001/szavazohelyisegek/001?tab=szavazokor-adatai
01_002_001,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_002,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_003,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_004,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_005,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_006,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_007,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_008,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_009,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_010,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_011,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_012,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_013,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_014,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_015,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_016,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_017,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_018,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_019,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_020,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_021,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_022,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_023,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_024,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_025,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_026,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_027,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_028,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_029,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_030,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_031,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_032,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_033,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_034,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_035,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_036,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_037,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_038,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_039,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_040,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_041,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_042,01,Budapest,002,1029 Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_043,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_044,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
01_002_045,01,Budapest,002,Budapest 02,https://vtr.valasztas.hu/ogy2026/egyeni-valasztokeruletek/01/01/002/szavazohelyisegek/002?tab=szavazokor-adatai
