SZAVAZOKOR,VALASZTOPOLGAR_INDULO,VALASZTOPOLGAR_HONOS,VALASZTOPOLGAR_ATJEL,VALASZTOPOLGAR_ATJELINNEN,VALASZTOPOLGAR_OSSZESEN,MEGJELENTEK,URNABAN_BELYEGZES_NELKULI,URNABAN_LEBELYEGZETT,ELTERES,ERVENYTELEN,ERVENYES
01_001_001,1275,1265,0,9,1265,,,,,,
01_001_002,1327,1311,0,12,1311,,,,,,
01_001_003,1050,1039,166,10,1205,,,,,,
01_001_004,958,924,0,4,924,,,,,,
01_001_005,1421,1409,0,14,1409,,,,,,
01_001_006,1227,1203,0,23,1203,,,,,,
01_001_007,1163,1157,0,9,1157,,,,,,
01_001_008,1259,1259,0,6,1259,,,,,,
01_001_009,1172,1158,0,13,1158,,,,,,
01_001_010,1263,1251,0,12,1251,,,,,,
01_001_011,1318,1310,0,7,1310,,,,,,
01_001_012,1159,1143,0,8,1143,,,,,,
01_001_013,1343,1322,0,20,1322,,,,,,
01_001_014,1253,1235,0,15,1235,,,,,,
01_001_015,1302,1291,0,8,1291,,,,,,
01_001_016,1196,1179,0,13,1179,,,,,,
01_002_001,954,945,0,11,945,,,,,,
01_002_002,895,891,0,4,891,,,,,,
01_002_003,683,672,0,8,672,,,,,,
01_002_004,1082,1076,0,10,1076,,,,,,
01_002_005,1096,1090,0,7,1090,,,,,,
01_002_006,897,885,0,6,885,,,,,,
01_002_007,805,795,0,8,795,,,,,,
01_002_008,951,938,0,10,938,,,,,,
01_002_009,885,869,0,12,869,,,,,,
01_002_010,730,727,0,6,727,,,,,,
01_002_011,621,625,0,8,625,,,,,,
01_002_012,1049,1040,0,6,1040,,,,,,
01_002_013,684,676,0,10,676,,,,,,
01_002_014,864,862,0,7,862,,,,,,
01_002_015,784,783,0,1,783,,,,,,
01_002_016,1113,1104,0,13,1104,,,,,,
01_002_017,835,827,0,10,827,,,,,,
01_002_018,732,716,0,12,716,,,,,,
01_002_019,857,849,0,10,849,,,,,,
01_002_020,828,823,0,2,823,,,,,,
01_002_021,876,878,0,7,878,,,,,,
01_002_022,862,850,0,8,850,,,,,,
01_002_023,871,860,0,8,860,,,,,,
01_002_024,1000,986,0,15,986,,,,,,
01_002_025,905,890,0,11,890,,,,,,
01_002_026,878,871,0,5,871,,,,,,
01_002_027,758,751,0,5,751,,,,,,
01_002_028,668,662,0,2,662,,,,,,
01_002_029,505,501,0,0,501,,,,,,
01_002_030,586,571,0,6,571,,,,,,
01_002_031,1107,1099,0,6,1099,,,,,,
01_002_032,954,935,0,9,935,,,,,,
01_002_033,863,852,0,9,852,,,,,,
01_002_034,771,762,0,6,762,,,,,,
01_002_035,909,902,0,9,902,,,,,,
01_002_036,908,891,0,11,891,,,,,,
01_002_037,920,920,0,5,920,,,,,,
01_002_038,1054,1042,0,11,1042,,,,,,
01_002_039,1018,1010,0,4,1010,,,,,,
01_002_040,845,839,0,8,839,,,,,,
01_002_041,841,834,0,6,834,,,,,,
01_002_042,828,816,0,11,816,,,,,,
01_002_043,868,859,0,7,859,,,,,,
01_002_044,999,994,0,6,994,,,,,,
01_002_045,899,894,0,3,894,,,,,,
01_002_046,918,905,0,12,905,,,,,,
01_002_047,965,958,0,4,958,,,,,,
01_002_048,936,926,0,9,926,,,,,,
01_002_049,939,926,0,10,926,,,,,,
01_002_050,906,899,0,6,899,,,,,,
01_002_051,689,688,0,2,688,,,,,,
01_002_052,668,665,0,4,665,,,,,,
01_002_053,676,668,0,8,668,,,,,,
01_002_054,974,965,0,7,965,,,,,,
01_002_055,869,865,0,4,865,,,,,,
01_002_056,737,725,0,7,725,,,,,,
01_002_057,784,778,0,12,778,,,,,,
